AccessID,CustomerID,AccessDate,PageVisited
1,15,2023-07-12,Homepage
2,34,2023-07-13,ProductPage
3,56,2023-07-14,AboutUs
4,78,2023-07-15,ContactUs
5,23,2023-07-16,Homepage
6,45,2023-07-17,ProductPage
7,67,2023-07-18,Homepage
8,89,2023-07-19,ProductPage
9,12,2023-07-20,AboutUs
10,34,2023-07-21,ProductPage
11,56,2023-07-22,Homepage
12,78,2023-07-23,ContactUs
13,23,2023-07-24,Homepage
14,45,2023-07-25,ProductPage
15,67,2023-07-26,Homepage
16,89,2023-07-27,ProductPage
17,12,2023-07-28,AboutUs
18,34,2023-07-29,ProductPage
19,56,2023-07-30,Homepage
20,78,2023-07-31,ContactUs
21,23,2023-08-01,Homepage
22,45,2023-08-02,ProductPage
23,67,2023-08-03,Homepage
24,89,2023-08-04,ProductPage
25,12,2023-08-05,AboutUs
26,34,2023-08-06,ProductPage
27,56,2023-08-07,Homepage
28,78,2023-08-08,ContactUs
29,23,2023-08-09,Homepage
30,45,2023-08-10,ProductPage
31,67,2023-08-11,Homepage
32,89,2023-08-12,ProductPage
33,12,2023-08-13,AboutUs
34,34,2023-08-14,ProductPage
35,56,2023-08-15,Homepage
36,78,2023-08-16,ContactUs
37,23,2023-08-17,Homepage
38,45,2023-08-18,ProductPage
39,67,2023-08-19,Homepage
40,89,2023-08-20,ProductPage
41,12,2023-08-21,AboutUs
42,34,2023-08-22,ProductPage
43,56,2023-08-23,Homepage
44,78,2023-08-24,ContactUs
45,23,2023-08-25,Homepage
46,45,2023-08-26,ProductPage
47,67,2023-08-27,Homepage
48,89,2023-08-28,ProductPage
49,12,2023-08-29,AboutUs
50,34,2023-08-30,ProductPage
51,56,2023-08-31,Homepage
52,78,2023-09-01,ContactUs
53,23,2023-09-02,Homepage
54,45,2023-09-03,ProductPage
55,67,2023-09-04,Homepage
56,89,2023-09-05,ProductPage
57,12,2023-09-06,AboutUs
58,34,2023-09-07,ProductPage
59,56,2023-09-08,Homepage
60,78,2023-09-09,ContactUs
61,23,2023-09-10,Homepage
62,45,2023-09-11,ProductPage
63,67,2023-09-12,Homepage
64,89,2023-09-13,ProductPage
65,12,2023-09-14,AboutUs
66,34,2023-09-15,ProductPage
67,56,2023-09-16,Homepage
68,78,2023-09-17,ContactUs
69,23,2023-09-18,Homepage
70,45,2023-09-19,ProductPage
71,67,2023-09-20,Homepage
72,89,2023-09-21,ProductPage
73,12,2023-09-22,AboutUs
74,34,2023-09-23,ProductPage
75,56,2023-09-24,Homepage
76,78,2023-09-25,ContactUs
77,23,2023-09-26,Homepage
78,45,2023-09-27,ProductPage
79,67,2023-09-28,Homepage
80,89,2023-09-29,ProductPage
81,12,2023-09-30,AboutUs
82,34,2023-10-01,ProductPage
83,56,2023-10-02,Homepage
84,78,2023-10-03,ContactUs
85,23,2023-10-04,Homepage
86,45,2023-10-05,ProductPage
87,67,2023-10-06,Homepage
88,89,2023-10-07,ProductPage
89,12,2023-10-08,AboutUs
90,34,2023-10-09,ProductPage
91,56,2023-10-10,Homepage
92,78,2023-10-11,ContactUs
93,23,2023-10-12,Homepage
94,45,2023-10-13,ProductPage
95,67,2023-10-14,Homepage
96,89,2023-10-15,ProductPage
97,12,2023-10-16,AboutUs
98,34,2023-10-17,ProductPage
99,56,2023-10-18,Homepage
100,78,2023-10-19,ContactUs
